ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
11396,1043097,Active,101900,3HR Com Mon-Fri 1000-1400 /2HR Pas Mon-Fri 1900-2200 /2HR Pas Sat 0900-2200,,On Street,Manhattan,2 Avenue,W,East 10 Street,East 9 Street,40.7295047106305,-73.9871298398268,987817.069297478,205055.065333307,POINT (-73.987129839827 40.729504710631),11724,70,4,50,5
5556,3493045,Active,314198,2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri,,On Street,Brooklyn,New Utrecht Avenue,E,46 Street,45 Street,40.6394339249397,-73.9943097317745,985829.235674724,172239.449534222,POINT (-73.994309731774 40.63943392494),17621,2,2,18,39
6334,3593016,Active,334385,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Utica Avenue,W,Avenue H,Avenue I,40.6322154250483,-73.9284120061918,1004120.15841039,169617.623413056,POINT (-73.928412006192 40.632215425048),13825,5,2,26,38
4528,3333059,Active,323488,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Flatbush Avenue,W,Avenue S,Avenue T,40.6122552053232,-73.9255609350837,1004917.68896756,162346.249832481,POINT (-73.925560935084 40.612255205323),13825,5,2,8,38
3463,4203050,Active,463943,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,65 Street,W,37 Avenue,39 Avenue,40.7464552499075,-73.8988879697285,1012266.88489905,211246.590023726,POINT (-73.898887969728 40.746455249908),14787,53,3,33,66
5466,3543068,Active,309930,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,McDonald Avenue,W,Village Road North,Gravesend Neck Road,40.5958591974428,-73.9735098463815,991606.68540588,156365.092503473,POINT (-73.973509846381 40.595859197443),18183,32,2,45,36
2212,2323237,Active,214378,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,Morris Park Avenue,N,Barnes Avenue,Wallace Avenue,40.8459032951732,-73.863256346003,1022083.39676206,247492.333148897,POINT (-73.863256346003 40.845903295173),11271,59,5,12,32
12207,2083018,Active,208767,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,White Plains Road,E,East 219 Street,East 220 Street,40.8839875642403,-73.8624358314054,1022288.62108913,261368.254543975,POINT (-73.862435831405 40.88398756424),11605,29,5,2,30
8966,1133052,Active,102660,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,1 Avenue,W,East 6 Street,East 7 Street,40.7266552511068,-73.986140918741,988091.321045548,204016.960454136,POINT (-73.986140918741 40.726655251107),11724,70,4,50,5
9601,1443242,Active,104454,3HR Com Mon-Fri 1000-1400 /2HR Pas Mon-Fri 1900-2200 /2HR Pas Sat 0900-2200,,On Street,Manhattan,2 Avenue,W,East 40 Street,East 39 Street,40.7483705973821,-73.9734108766008,991617.304807216,211929.360967889,POINT (-73.973410876601 40.748370597382),12078,71,4,51,9
